"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000636770898939107,0.719602272437457,0.349,0.228,1,"5","LOC102683288"
0.000757761095687931,0.540185354442614,0.452,0.311,1,"5","spega"
0.000831565478279333,0.48036363623867,0.459,0.311,1,"5","slc8a3"
0.00181530244587447,0.680970238226587,0.308,0.198,1,"5","LOC102694151"
3.3261921038402e-155,6.12906374571711,0.702,0.018,2.95066501531665e-151,"6","myh7ba"
4.52082126161535e-137,6.80569433147371,0.521,0.005,4.01042054117898e-133,"6","LOC102691976"
2.725333601709e-136,6.66833093642486,0.628,0.017,2.41764343807605e-132,"6","mybpc1"
7.77833611176899e-132,6.43468145608686,0.521,0.007,6.90016196475027e-128,"6","myom3"
1.61824091544735e-112,5.41083471413249,0.596,0.024,1.43554151609334e-108,"6","LOC102698246"
5.56858909377542e-103,6.34943416946835,0.479,0.013,4.93989538508817e-99,"6","LOC102690917"
7.06257500584759e-99,4.61246857530214,0.543,0.023,6.2652102876874e-95,"6","LOC107075340"
9.63455529022985e-97,5.91898161780282,0.426,0.009,8.5468139979629e-93,"6","LOC102687754"
6.93698785699915e-89,4.65747468171562,0.606,0.042,6.15380192794395e-85,"6","LOC102685363"
1.46096767974265e-88,5.60347979207489,0.404,0.01,1.29602442869971e-84,"6","tnnc1b"
1.03807229718944e-84,4.98341349039782,0.447,0.017,9.20873934836753e-81,"6","znf385c"
1.18759293062994e-80,4.1871384562492,0.713,0.08,1.05351368876182e-76,"6","LOC102690932"
2.65462707746397e-73,5.75187163196756,0.309,0.005,2.35491968041829e-69,"6","LOC107075961"
1.08038999735723e-69,5.03023071191752,0.383,0.016,9.58413966655601e-66,"6","LOC102682260"
1.51952214985935e-61,4.23353018232458,0.457,0.035,1.34796809914023e-57,"6","LOC102698616"
2.79620272787537e-55,5.17379551683164,0.266,0.008,2.48051143989824e-51,"6","tnni1a"
1.48301482508612e-46,4.22922790764254,0.33,0.023,1.3155824513339e-42,"6","mybpc3"
1.290210001727e-40,3.69462768013308,0.34,0.03,1.14454529253202e-36,"6","atp2b2"
5.32488101127164e-40,2.25046401940343,0.628,0.12,4.72370194509907e-36,"6","rbfox1"
1.19265274829383e-35,2.8793114723728,0.468,0.074,1.05800225301146e-31,"6","col13a1"
4.85618587599548e-35,2.9175026888769,0.489,0.083,4.30792249059559e-31,"6","LOC138241758"
1.1867128380017e-32,2.38977309860466,0.66,0.176,1.05273295859131e-28,"6","LOC102699018"
3.96836661965912e-32,3.36644059477404,0.298,0.03,3.5203380282996e-28,"6","LOC138238037"
5.79848966698536e-31,3.57211562116555,0.255,0.022,5.14384018358271e-27,"6","slc6a6b"
2.24397790666442e-30,3.63322713546894,0.255,0.023,1.99063280100201e-26,"6","nt5c2b"
1.08023275110529e-29,3.5457642942186,0.255,0.023,9.58274473505505e-26,"6","tbx15"
7.19072196524478e-29,3.36192511365155,0.255,0.024,6.37888945536865e-25,"6","slit2"
4.34754610965982e-28,3.18844229279604,0.309,0.039,3.85670815387923e-24,"6","LOC102697252"
1.31697615689024e-27,2.82587221341134,0.33,0.045,1.16828954877734e-23,"6","tacc2"
9.18935563559439e-26,2.27333119038256,0.511,0.121,8.15187738433578e-22,"6","lama2"
9.71972499963124e-23,2.11143318826174,0.543,0.157,8.62236804717287e-19,"6","mef2cb"
2.49964509972054e-20,1.63683838902132,0.691,0.281,2.21743516796209e-16,"6","pleca"
5.81885827008997e-19,1.42732283692106,0.787,0.355,5.16190917139681e-15,"6","dmd"
6.41731327105298e-19,2.24090971269018,0.351,0.075,5.6927986027511e-15,"6","obsl1a"
